,도로명,위도,경도
51530,과천대로,37.467341499999996,126.9851173
51669,난곡로52길,37.478313299999996,126.9157578
51958,남부순환로176길,37.4835435,126.92840079999999
53150,신림로3길,37.4686883,126.9447106
53174,인헌7길,37.4733411,126.9674221
53194,승방6길,37.4743906,126.9802072
53299,행운10길,37.4820135,126.9617643
53410,은천로11길,37.486577399999994,126.9419399
53475,참벗길,37.478430700000004,126.94397190000001
53483,소담길,37.477487200000006,126.9431336
53581,쑥고개로1가길,37.4778843,126.9378739
53645,쑥고개로24길,37.478682299999996,126.94909879999999
53703,시흥대로166길,37.481968,126.90276010000001
53706,난곡로24마길,37.4683042,126.92226310000001
53796,용담길,37.477327,126.94349640000002
53825,쑥고개로2라길,37.475905600000004,126.9407179
53947,서원6길,37.4770717,126.93191499999999
54024,인헌14길,37.470499700000005,126.96672659999999
54031,봉천로13가길,37.48921370000001,126.9310628
54151,청룡7길,37.4797087,126.9477912
54194,난우2길,37.4735359,126.91978390000001
54226,신사로14길,37.487006,126.91651599999999
54246,행운1라길,37.4821217,126.95750829999999
54256,쑥고개로1길,37.4778669,126.93848500000001
54309,서림5길,37.473276,126.93976740000001
54385,쑥고개로28길,37.4784483,126.9501457
54396,남부순환로125길,37.4809825,126.9060809
54493,난향6길,37.463605,126.9168324
54497,남부순환로167길,37.484572,126.92372490000001
54527,쑥고개로13길,37.4803185,126.94403700000001
54531,남부순환로260가길,37.4737073,126.97268940000001
54550,봉천로49가길,37.482676299999994,126.9506115
54581,시흥대로162길,37.4811238,126.90223020000002
54611,참숯5길,37.4771015,126.94058740000001
54634,문성로40길,37.4774995,126.9312324
54651,문성로38나길,37.47621470000001,126.9289645
54661,호암로18나길,37.464309899999996,126.93307949999999
54671,관악로17길,37.4808679,126.9504007
54672,성현로,37.4916112,126.95012849999999
54675,은천로8길,37.4854866,126.9400435
54679,남부순환로152가길,37.4818037,126.91707720000001
54688,신림로38길,37.4765031,126.93825079999999
54702,법원단지25길,37.475821999999994,126.9230932
54720,남부순환로246나길,37.4749524,126.9650132
54724,신림로44길,37.47825,126.9353074
54727,법원단지16길,37.4736006,126.92218249999999
54743,서림11길,37.472178799999995,126.94107079999999
54757,광신5길,37.46741420000001,126.92991540000001
54775,난곡로78길,37.4866695,126.91391940000001
54776,장군봉8길,37.481007899999994,126.9387697
54782,법원단지21길,37.4754235,126.92238619999999
54799,성림길,37.4658621,126.93089109999998
54800,성림1길,37.465041799999995,126.9309283
54802,봉천로33나길,37.4854792,126.9432784
54817,낙성대역길,37.4756745,126.96110449999999
54850,난향2길,37.4633365,126.917983
54852,남부순환로164길,37.482005,126.9231642
54869,청룡1길,37.481137,126.94764369999999
54893,서림7길,37.4721238,126.9423263
54894,법원단지10길,37.4745276,126.92317949999999
54941,법원단지29길,37.476212700000005,126.92380120000001
54955,은천로28길,37.4859268,126.95108929999999
54956,남부순환로184길,37.4834958,126.9320731
54977,관천로17길,37.4872876,126.9218841
54979,인헌12나길,37.4708469,126.96654609999999
54981,법원단지17길,37.475031,126.92167659999998
54998,성림3길,37.4655731,126.93053970000001
55014,문성로19길,37.4785348,126.91612040000001
55037,봉천로58길,37.478758500000005,126.95630919999999
55045,양지14길,37.4688836,126.92976019999999
55055,법원단지7길,37.4754031,126.92181629999999
55093,승방9길,37.4721161,126.9786463
55096,법원단지13길,37.474635799999994,126.92097290000001
55145,신림로54가길,37.4807156,126.93163390000001
55146,신림로73길,37.4890875,126.9275597
55185,밤골길,37.462986799999996,126.931174
55220,양지8길,37.470386,126.9299748
55228,난곡로40길,37.4753436,126.91746299999998
55230,난곡로53길,37.4786392,126.91419209999998
55278,남부순환로247가길,37.476956799999996,126.9657145
55289,신림로41길,37.4767942,126.9348311
55292,신림로54길,37.48039620000001,126.93125020000001
55296,국회단지14길,37.4890727,126.94272140000001
55304,봉천로21다길,37.4895779,126.93452090000001
55330,은천로6길,37.48578,126.9390561
55332,승방2길,37.4748441,126.98112579999999
55348,방천길,37.473380799999994,126.93264280000001
55353,신림로18길,37.4715644,126.93630590000001
55358,양지12길,37.4684917,126.9287645
55363,양지16길,37.4702472,126.9307995
55375,양지6길,37.4702166,126.9303997
55376,양지3길,37.4707511,126.9311485
55392,양지4길,37.4702859,126.93117759999998
55420,남부순환로241길,37.4792177,126.9628467
55424,태흥길,37.46652879999999,126.9304158
55434,남부순환로256가길,37.4754819,126.97266409999999
55435,승방7길,37.4725617,126.9797612
55487,장군봉13길,37.479786100000005,126.9398798
55511,난곡로63가길,37.480822100000005,126.91416370000002
55513,은천로35마길,37.4884642,126.9532998
55529,난곡로22길,37.4690569,126.92045900000001
55535,은천로1길,37.4868664,126.93638270000001
55548,약수암1길,37.459972,126.9332162
55575,조원로20길,37.4837438,126.9131169
55590,광신1길,37.4685565,126.92914240000002
55615,봉천로62길,37.4777963,126.95883070000001
55635,호암로22가길,37.46829,126.93329579999998
55636,남현12길,37.4717989,126.97266
55648,법원단지36길,37.475700599999996,126.9253527
55669,봉천로6길,37.488203600000006,126.9258835
55679,인헌16가길,37.4691836,126.96815959999999
55703,서원2길,37.477883399999996,126.93212379999999
55714,난곡로44길,37.476017799999994,126.91690940000001
55724,법원단지14길,37.4730717,126.92213390000002
55725,난곡로35라길,37.471260799999996,126.91840990000001
55729,봉천로15길,37.4886223,126.9316856
55736,난곡로38길,37.4748856,126.91783899999999
55738,국회단지19길,37.4899285,126.94148919999999
55751,남부순환로161가길,37.4848341,126.9167053
55752,광신3길,37.4674505,126.92962150000001
55780,보라매로3길,37.4914449,126.92586609999998
55784,은천로35바길,37.48829310000001,126.954535
55785,국회단지11길,37.4889427,126.9403817
55793,쑥고개로22길,37.47767929999999,126.9482904
55794,낙성대역12길,37.4737854,126.963718
55800,신원로2길,37.4803395,126.92833629999998
55821,시흥대로158길,37.4803015,126.90127509999999
55822,신림동5길,37.4861049,126.92746310000001
55828,신림동9길,37.4863255,126.9247676
55874,서원3길,37.4769096,126.93374850000001
55875,서원5길,37.4765157,126.93363729999999
55884,난곡로58길,37.4797922,126.9154191
55890,서원4길,37.4774557,126.93201699999999
55915,봉천로2길,37.4894263,126.9224074
55917,청룡16길,37.476943299999995,126.9432264
55936,봉천로53길,37.481937200000004,126.95452150000001
55943,남부순환로216길,37.4806028,126.94927870000001
55945,중앙1가길,37.483120299999996,126.9529582
55973,양녕로6라길,37.48396029999999,126.95079840000001
55975,양산3길,37.47408,126.9310861
55995,남부순환로186길,37.483846899999996,126.93324009999998
55996,신림동3길,37.4868299,126.9277741
